Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.914808125,2.367781162,11.44603252,-10.65777683,15.81790932
0.924797125,1.207860708,6.316876888,-9.447151184,11.42849625
0.934786125,0.233422026,2.011988401,-7.665178776,7.928275275
0.944775125,-0.235386476,-0.863385141,-5.701993465,5.771790898
0.954764125,-0.16111277,-1.812557578,-3.906709433,4.309721672
0.964753125,0.359100193,-0.809023261,-2.589469671,2.736571717
0.974742125,1.0677737,1.324844718,-1.959882021,2.595475243
0.984731125,1.563516378,3.329736948,-2.058841467,4.215514179
0.994720125,1.665631294,4.396501541,-2.616276264,5.380376836
1.004709125,1.50385344,4.468283176,-3.327353954,5.770477801
1.014698125,1.104340076,4.19310236,-4.035992622,5.92375817
1.024687125,0.489554524,3.932171345,-4.589823723,6.063671901
1.034676125,-0.144792318,4.072853088,-5.014286041,6.461591259
1.044665125,-0.469811618,4.614164829,-5.14055109,6.923619396
1.054654125,-0.418316722,5.373454571,-4.904724121,7.287339817
1.064643125,-0.117945597,5.856294632,-4.40728426,7.330365102
1.074632125,0.208991244,5.93152523,-3.84134388,7.069836752
1.084621125,0.245455384,5.445069313,-3.223721027,6.332567049
1.094610125,-0.071768112,4.386953354,-2.662600756,5.132246406
1.104599125,-0.495911956,2.713991165,-2.072774649,3.450807363
1.114589125,-0.785521448,0.442902297,-1.301508427,1.58339211
1.124578125,-0.849686325,-1.779348254,-0.317944616,1.997282113
1.134567125,-0.629597604,-3.37451005,0.806330919,3.526170837
1.144556125,-0.371526897,-4.45595789,1.885977626,4.852886209
1.154545125,-0.323651761,-5.237571239,2.836187124,5.964969435
1.164534125,-0.463225245,-5.936034679,3.714232445,7.017592749
1.174523125,-0.687956333,-6.757126331,4.542800426,8.171234661
1.184512125,-0.759538472,-7.924631119,5.36007452,9.597243142
1.194501125,-0.560065031,-9.395870209,6.269722462,11.30953003
1.204490125,-0.090348698,-11.09168339,6.988440037,13.10999227
1.214479125,0.506563425,-12.64806747,7.426673412,14.67602451
1.224468125,1.019022465,-14.03072453,7.646287441,16.01141309
1.234457125,1.388210058,-15.5283947,7.8302598,17.44623563
1.244446125,1.74583292,-17.17059708,8.27041626,19.13836779
1.254435125,2.082794905,-18.81865692,8.882521629,20.91360977
1.264424125,2.203705788,-20.01215172,9.463011742,22.24614858
1.274413125,2.000939846,-20.5657692,9.999835968,22.95542076
1.284402125,1.471148014,-20.63137436,10.4720993,23.18367418
1.294391125,0.760275483,-20.22523117,10.68455029,22.88662512
1.304380125,-0.152451888,-19.38993645,10.82107353,22.20559635
1.314369125,-1.322379351,-17.52827072,10.69956112,20.57837627
1.324358125,-2.305595875,-15.48402023,10.53778172,18.87102272
1.334347125,-3.061826944,-13.29693604,10.33163834,17.11508232
1.344336125,-3.45915246,-11.14972019,9.878620148,15.29278039
1.354325125,-3.408724308,-9.043702126,9.114447594,13.28461909
1.364314125,-3.020606279,-7.197765827,8.170905113,11.30024715
1.374303125,-2.254365206,-6.044669628,7.167748928,9.643485785
1.384292125,-1.143050909,-5.468202591,6.510370255,8.578620274
1.394281125,0.00742584,-5.016674519,6.347716808,8.090771721
1.404270125,1.130665421,-4.822998524,6.418614388,8.107917717
1.414259125,2.225388288,-4.591071129,6.40956831,8.192243469
1.424248125,3.157487392,-4.066247463,6.068498135,7.958062872
1.434237125,3.863400221,-3.500516653,5.428338051,7.526375761
1.444226125,4.434500217,-2.960592031,4.741858006,7.135482794
1.454215125,4.886586189,-2.639771223,4.017503262,6.854739175
1.464204125,5.166821957,-2.531849623,3.212387323,6.589821239
1.474193125,5.248882771,-2.617280722,2.219655514,6.271188031
1.484182125,5.000880718,-2.482360363,0.872490168,5.650854805
1.494171125,4.506085396,-2.133423805,-0.97056216,5.079202067
1.504160125,3.998505116,-1.149728179,-3.295403719,5.307504472
1.514149125,3.601875067,-0.003025334,-5.875294209,6.891487153
1.524138125,3.383921623,1.141657114,-8.239785194,8.980443562
1.534127125,3.646087885,2.321886539,-10.47064114,11.32781708
1.544116125,4.244231224,3.314490318,-12.39494324,13.51421336
1.554105125,5.150951385,4.294300556,-14.19264793,15.69727915
1.564094125,5.996361732,5.122997761,-15.66449738,17.53790005
1.574084125,6.634641171,5.689534664,-16.70703697,18.85508824
1.584073125,6.939053535,6.027337551,-17.46068764,19.7320773
1.5940615,6.807091236,5.935236931,-18.14739037,20.27045401
1.6040505,6.228901386,5.545521259,-18.88895798,20.6481174
1.6140395,5.417897224,5.990758419,-19.56430244,21.16612215
1.6240285,4.922214031,7.063356876,-20.11116982,21.87643373
1.6340175,4.866402626,7.16110754,-20.45072174,22.20800206
1.6440065,4.710294247,6.582208157,-20.63125038,22.16214855
1.6539955,4.148606777,5.86335659,-20.52228737,21.74291074
1.6639845,3.261594296,4.815138817,-20.41134262,21.22372415
1.6739735,1.967012763,4.000173569,-20.25273514,20.73749764
1.6839625,0.598054349,3.799156904,-19.9899292,20.35653535
1.6939515,-0.656461477,3.528477907,-19.53585243,19.86279508
1.7039405,-2.01430583,3.248511791,-18.79181099,19.1766112
1.7139295,-3.347006798,4.057713509,-17.36001396,18.13939299
1.7239185,-4.087505817,5.33146143,-14.98396111,16.42106194
1.7339075,-4.293999195,5.087666035,-11.81346893,13.56026633
1.7438965,-4.239596844,4.065758705,-8.35180378,10.21064159
1.7538855,-3.947331667,2.57912302,-4.995774746,6.869575544
1.7638745,-3.436623812,1.029524088,-2.391039133,4.311307366
1.7738635,-2.82523036,-0.218146876,-0.473363847,2.872905842
1.7838525,-2.368314505,-0.977340221,0.893634796,2.713427841
1.7938415,-2.137892246,-1.364828229,1.629973292,3.014987941
1.8038305,-2.124148607,-1.638183594,1.899457216,3.286881578
1.8138195,-2.209680796,-1.907611847,1.739494443,3.398163194
1.8238085,-2.293878555,-1.933244705,1.176864743,3.222471806
1.8337975,-2.336453915,-1.541704416,0.469809383,2.838413335
1.8437865,-2.292528868,-0.970716417,-0.172992393,2.495577156
1.8537755,-2.179769278,-0.622732639,-0.540316343,2.330478877
1.8637645,-1.901013374,-1.132095933,-0.420434564,2.252167461
1.8737535,-1.322155356,-2.683927536,0.422735274,3.021633154
1.8837425,-0.72228694,-4.65281868,1.834405303,5.0532626
1.8937315,-0.37700969,-6.640695572,3.656794071,7.590330485
1.9037205,-0.185055748,-8.113821983,5.408127308,9.752753139
1.9137095,-0.223687559,-8.531280518,6.298928261,10.6070392
1.9236985,-0.605213821,-8.473134995,6.331080437,10.59447403
1.9336875,-1.028230071,-8.481470108,5.772452354,10.31085828
1.9436775,-1.316349268,-8.812617302,5.001275063,10.21801113
1.9536665,-1.284160733,-9.530959129,4.293128014,10.5318184
1.9636555,-0.955799341,-10.61128616,3.981950998,11.37404414
1.9736445,-0.440554082,-12.20061779,4.128820896,12.88783629
1.9836335,-0.065916501,-13.63874435,4.708598137,14.42881107
1.9936225,-0.009120593,-14.69693947,5.483803272,15.68668898
2.0036115,-0.207714647,-15.51786041,6.121062279,16.68276178
2.0136005,-0.466754198,-16.17872238,6.640100956,17.49456653
2.0235895,-0.88625443,-16.57202721,6.634709358,17.87279779
2.0335785,-1.491924882,-16.13527489,6.271623135,17.37544797
2.0435675,-2.244223356,-15.25329876,5.909484863,16.51125897
2.0535565,-3.080758572,-14.28247356,5.49237442,15.60917363
2.0635455,-4.036800861,-13.01235962,4.898066044,14.47785602
2.0735345,-4.849110603,-11.37810707,4.486134052,13.15676985
2.0835235,-5.221233368,-9.877538681,4.179388523,11.92871899
2.0935125,-5.221397877,-8.554757118,3.609814644,10.6525878
2.1035015,-4.692387581,-7.81321764,2.990252495,9.59200089
2.1134905,-3.74710989,-7.497159958,2.683251143,8.800458889
2.1234795,-2.474016905,-7.708669186,2.548552513,8.487606269
2.1334685,-1.221888185,-8.242415428,2.822446823,8.797535388
